Date,Open,High,Low,Close ,Adj Close ,Volume
10-Apr-23,"40,506.72","41,151.49","40,194.48","40,870.25","40,870.25",-
3-Apr-23,"40,708.41","40,876.94","40,153.97","40,506.72","40,506.72",-
27-Mar-23,"39,259.36","40,719.18","39,124.13","40,708.41","40,708.41",-
20-Mar-23,"38,762.85","40,006.22","38,632.08","39,259.36","39,259.36",-
13-Mar-23,"38,379.18","39,294.18","37,776.71","38,762.85","38,762.85",-
6-Mar-23,"40,450.95","40,733.10","38,202.96","38,379.18","38,379.18",-
27-Feb-23,"39,690.74","40,482.43","39,265.32","40,450.95","40,450.95",-
20-Feb-23,"40,819.56","40,819.56","39,432.97","39,690.74","39,690.74",-
13-Feb-23,"40,790.40","41,512.88","40,512.35","40,819.56","40,819.56",-
6-Feb-23,"41,385.36","41,700.58","40,328.05","40,790.40","40,790.40",-
30-Jan-23,"40,638.24","42,003.91","40,065.86","41,385.36","41,385.36",-
23-Jan-23,"39,585.93","40,859.66","39,366.57","40,638.24","40,638.24",-
16-Jan-23,"39,834.10","40,044.93","38,696.72","39,585.93","39,585.93",-
9-Jan-23,"38,630.69","39,879.32","38,504.55","39,834.10","39,834.10",-
2-Jan-23,"38,073.94","38,734.04","37,622.51","38,630.69","38,630.69",-
26-Dec-22,"38,110.42","38,238.67","37,443.64","38,073.94","38,073.94",-
19-Dec-22,"38,217.00","38,578.33","37,324.63","38,110.42","38,110.42",-
12-Dec-22,"39,011.96","40,693.67","37,964.09","38,217.00","38,217.00",-
5-Dec-22,"40,504.14","40,504.14","38,878.07","39,011.96","39,011.96",-
28-Nov-22,"40,018.88","40,759.03","39,143.98","40,504.14","40,504.14",-
21-Nov-22,"39,439.89","40,093.76","39,085.27","40,018.88","40,018.88",-
14-Nov-22,"39,634.43","40,188.87","38,867.44","39,439.89","39,439.89",-
7-Nov-22,"37,635.45","39,936.01","37,261.77","39,835.62","39,835.62",-
31-Oct-22,"38,952.71","39,121.41","36,938.66","37,635.45","37,635.45",-
